dataset,split
cirrhosis_patient_survival_prediction-c8851fd8162a,0
cirrhosis_patient_survival_prediction-c8851fd8162a,1
cirrhosis_patient_survival_prediction-c8851fd8162a,2
cirrhosis_patient_survival_prediction-c8851fd8162a,3
cirrhosis_patient_survival_prediction-c8851fd8162a,4
cirrhosis_patient_survival_prediction-c8851fd8162a,5
climate_model_weather_forecasting_1m-88f9bd87b0e4,0
clock_protein_toxicity-f1eed69eb784,0
clock_protein_toxicity-f1eed69eb784,1
clock_protein_toxicity-f1eed69eb784,2
clock_protein_toxicity-f1eed69eb784,3
clock_protein_toxicity-f1eed69eb784,4
clock_protein_toxicity-f1eed69eb784,5
clock_protein_toxicity-f1eed69eb784,6
clock_protein_toxicity-f1eed69eb784,7
clock_protein_toxicity-f1eed69eb784,8
coffee_rating_prediction-5ff37781e0a3,0
coffee_rating_prediction-5ff37781e0a3,1
coffee_rating_prediction-5ff37781e0a3,2
coil_2000-d498c6d7849f,0
coil_2000-d498c6d7849f,1
concrete_compressive_strength-4c0702dec5d1,0
consumer_complaints_1m-853af219eb5a,0
cooking_time_1m-835a54525572,0
covertype-1ed1c3d23864,0
covertype-1ed1c3d23864,1
covertype-1ed1c3d23864,2
credit_approval-a37d9105992b,0
credit_approval-a37d9105992b,1
credit_approval-a37d9105992b,2
credit_approval-a37d9105992b,3
credit_card_clients_default-9470ea90c86d,0
credit_g-6ced9fa4ef3f,0
credit_g-6ced9fa4ef3f,1
credit_g-6ced9fa4ef3f,2
credit_g-6ced9fa4ef3f,3
credit_g-6ced9fa4ef3f,4
credit_g-6ced9fa4ef3f,5
credit_g-6ced9fa4ef3f,6
credit_g-6ced9fa4ef3f,7
credit_g-6ced9fa4ef3f,8
customer_satisfaction_in_airline-717af216790d,0
delivery_eta_1m-2a88c3ab9376,0
dementia_prediction-d8ce15bd8d63,0
dementia_prediction-d8ce15bd8d63,1
dementia_prediction-d8ce15bd8d63,2
dementia_prediction-d8ce15bd8d63,3
dementia_prediction-d8ce15bd8d63,4
diabetes_130_us-a06cb03600f0,0
diamonds-910d3c5757be,0
drug_induced_autoimmunity_prediction-752f934a6ee0,0
drug_induced_autoimmunity_prediction-752f934a6ee0,1
drug_induced_autoimmunity_prediction-752f934a6ee0,2
early_learning_predictors-90d92cf6004c,0
early_stage_diabetes_risk_prediction-51d4ebef5816,0
early_stage_diabetes_risk_prediction-51d4ebef5816,1
early_stage_diabetes_risk_prediction-51d4ebef5816,2
early_stage_diabetes_risk_prediction-51d4ebef5816,3
ecoli_proteins-88ead48fb030,0
ecoli_proteins-88ead48fb030,1
ecoli_proteins-88ead48fb030,2
ecoli_proteins-88ead48fb030,3
ecoli_proteins-88ead48fb030,4
ecoli_proteins-88ead48fb030,5
ecoli_proteins-88ead48fb030,6
ecoli_proteins-88ead48fb030,7
ecommerce_shipping-db33e797abb9,0
ecommerce_shipping-db33e797abb9,1
ecommerce_shipping-db33e797abb9,2
ecommerce_shipping-db33e797abb9,3
ecommerce_shipping-db33e797abb9,4
ecommerce_shipping-db33e797abb9,5
ecommerce_shipping-db33e797abb9,6
ecommerce_shipping-db33e797abb9,7
electric_motor_temperature_prediction-a13b29b9e53d,0
emscad-1790bb44ad91,0
emscad-1790bb44ad91,1
eryhemato_squamous_disease-a64cf6ea937e,0
eryhemato_squamous_disease-a64cf6ea937e,1
fiat_500-b26e24c630ed,0
fiat_500-b26e24c630ed,1
fitness_club-95daf6614f7a,0
fitness_club-95daf6614f7a,1
food_delivery_time-c2db6ce03f6d,0
forensic_glass_identification-e304196b0ccc,0
forensic_glass_identification-e304196b0ccc,1
forest_fires-7dc3af8601af,0
forest_fires-7dc3af8601af,1
forest_fires-7dc3af8601af,2
forest_fires-7dc3af8601af,3
forest_fires-7dc3af8601af,4
forest_fires-7dc3af8601af,5
gallstone_disease-63982cfe3e7c,0
gallstone_disease-63982cfe3e7c,1
gallstone_disease-63982cfe3e7c,2
gallstone_disease-63982cfe3e7c,3
garments_worker_productivity-7b6a94e87c93,0
garments_worker_productivity-7b6a94e87c93,1
garments_worker_productivity-7b6a94e87c93,2
garments_worker_productivity-7b6a94e87c93,3
garments_worker_productivity-7b6a94e87c93,4
garments_worker_productivity-7b6a94e87c93,5
garments_worker_productivity-7b6a94e87c93,6
garments_worker_productivity-7b6a94e87c93,7
garments_worker_productivity-7b6a94e87c93,8
garments_worker_productivity-7b6a94e87c93,9
garments_worker_productivity-7b6a94e87c93,10
garments_worker_productivity-7b6a94e87c93,11
garments_worker_productivity-7b6a94e87c93,12
garments_worker_productivity-7b6a94e87c93,13
garments_worker_productivity-7b6a94e87c93,14
garments_worker_productivity-7b6a94e87c93,15
garments_worker_productivity-7b6a94e87c93,16
garments_worker_productivity-7b6a94e87c93,17
ghanas_indigenous_intel-ecbbda50d44e,0
ghanas_indigenous_intel-ecbbda50d44e,1
ghanas_indigenous_intel-ecbbda50d44e,2
ghanas_indigenous_intel-ecbbda50d44e,3
ghanas_indigenous_intel-ecbbda50d44e,4
ghanas_indigenous_intel-ecbbda50d44e,5
give_me_some_credit-51f4a5f15bd6,0
hazelnut_spread_contaminant_detection-2e831ed5986d,0
healthcare_insurance_expenses-ad067e29f4ae,0
healthcare_insurance_expenses-ad067e29f4ae,1
heart_disease_cleveland-1e633334e0ef,0
heart_disease_cleveland-1e633334e0ef,1
heart_disease_cleveland-1e633334e0ef,2
heart_disease_cleveland-1e633334e0ef,3
heart_disease_cleveland-1e633334e0ef,4
heart_disease_cleveland-1e633334e0ef,5
heart_disease_cleveland-1e633334e0ef,6
heart_disease_cleveland-1e633334e0ef,7
heart_disease_cleveland-1e633334e0ef,8
heart_disease_cleveland-1e633334e0ef,9
heart_disease_cleveland-1e633334e0ef,10
heart_disease_cleveland-1e633334e0ef,11
heart_disease_cleveland-1e633334e0ef,12
heart_disease_cleveland-1e633334e0ef,13
heart_disease_hungary-f5ca5cfb8352,0
heart_disease_hungary-f5ca5cfb8352,1
heart_disease_hungary-f5ca5cfb8352,2
heart_disease_hungary-f5ca5cfb8352,3
heart_disease_hungary-f5ca5cfb8352,4
heart_disease_hungary-f5ca5cfb8352,5
heart_disease_va_long_beach-062b5d1dcb90,0
heart_disease_va_long_beach-062b5d1dcb90,1
heart_disease_va_long_beach-062b5d1dcb90,2
heart_disease_va_long_beach-062b5d1dcb90,3
heart_disease_va_long_beach-062b5d1dcb90,4
heart_disease_va_long_beach-062b5d1dcb90,5
heart_disease_va_long_beach-062b5d1dcb90,6
heart_disease_va_long_beach-062b5d1dcb90,7
heart_disease_va_long_beach-062b5d1dcb90,8
heart_disease_va_long_beach-062b5d1dcb90,9
heart_disease_va_long_beach-062b5d1dcb90,10
heart_disease_va_long_beach-062b5d1dcb90,11
heart_failure_followup_survival-25d12c8bf5bb,0
heart_failure_followup_survival-25d12c8bf5bb,1
heart_failure_followup_survival-25d12c8bf5bb,2
heart_failure_followup_survival-25d12c8bf5bb,3
heart_failure_followup_survival-25d12c8bf5bb,4
heart_failure_followup_survival-25d12c8bf5bb,5
heloc-d2ac12c6b994,0
hepatitis_c_prediction-d17a9e02b43b,0
hepatitis_c_prediction-d17a9e02b43b,1
hepatitis_c_prediction-d17a9e02b43b,2
hepatitis_c_prediction-d17a9e02b43b,3
hepatitis_survival_prediction-d1673748bbbe,0
hepatitis_survival_prediction-d1673748bbbe,1
hepatitis_survival_prediction-d1673748bbbe,2
hepatitis_survival_prediction-d1673748bbbe,3
hepatitis_survival_prediction-d1673748bbbe,4
hepatitis_survival_prediction-d1673748bbbe,5
hepatitis_survival_prediction-d1673748bbbe,6
hepatitis_survival_prediction-d1673748bbbe,7
hepatitis_survival_prediction-d1673748bbbe,8
hepatitis_survival_prediction-d1673748bbbe,9
hepatitis_survival_prediction-d1673748bbbe,10
hepatitis_survival_prediction-d1673748bbbe,11
hepatitis_survival_prediction-d1673748bbbe,12
hepatitis_survival_prediction-d1673748bbbe,13
hepatitis_survival_prediction-d1673748bbbe,14
hepatitis_survival_prediction-d1673748bbbe,15
hepatitis_survival_prediction-d1673748bbbe,16
hiva_agnostic-c4b35582c204,0
hiva_agnostic-c4b35582c204,1
hiva_agnostic-c4b35582c204,2
hiva_agnostic-c4b35582c204,3
hiva_agnostic-c4b35582c204,4
hiva_agnostic-c4b35582c204,5
home_credit_default_risk-1b1ae7eb0542,0
home_credit_default_stability_1m-e56e2cf55fa2,0
homeq_default_prediction-6da1464558b9,0
homesite_quote_conversion-f57214c4e0ab,0
horse_colic_survival-e1beb13d0b4e,0
horse_colic_survival-e1beb13d0b4e,1
horse_colic_survival-e1beb13d0b4e,2
horse_colic_survival-e1beb13d0b4e,3
horse_colic_survival-e1beb13d0b4e,4
hotel_booking_demand-9541da6f5a2b,0
hotel_booking_demand-9541da6f5a2b,1
houses-ca1697d5c050,0
hr_analytics-9f0cb22a2cd4,0
hr_analytics-9f0cb22a2cd4,1
ieee_fraud_detection-5e0af5cbbb73,0
immoscout_german_house_prices-58b4f389c67d,0
in_vehicle_coupon_recommendation-102e68b480bd,0
indian_liver_patient_dataset-0216cd985bcf,0
indian_liver_patient_dataset-0216cd985bcf,1
indian_liver_patient_dataset-0216cd985bcf,2
indian_liver_patient_dataset-0216cd985bcf,3
indian_liver_patient_dataset-0216cd985bcf,4
indian_liver_patient_dataset-0216cd985bcf,5
iranian_churn-87d6fa636729,0
jm1-c8cfe392b650,0
kdd_cup_09_appetency-72d0143e7c3d,0
kick-57821d387256,0
kick-57821d387256,1
kick-57821d387256,2
kickstarter-fc5123d788a6,0
labour_inspection_compliance-17b501f52bd1,0
lending_club_1m-f6bf13e264e4,0
ljubljana_breast_cancer-28c8b88c6b23,0
ljubljana_breast_cancer-28c8b88c6b23,1
ljubljana_breast_cancer-28c8b88c6b23,2
ljubljana_breast_cancer-28c8b88c6b23,3
ljubljana_breast_cancer-28c8b88c6b23,4
ljubljana_breast_cancer-28c8b88c6b23,5
ljubljana_breast_cancer-28c8b88c6b23,6
ljubljana_breast_cancer-28c8b88c6b23,7
ljubljana_primary_tumor-b1acf2d83b0d,0
ljubljana_primary_tumor-b1acf2d83b0d,1
ljubljana_primary_tumor-b1acf2d83b0d,2
lung_cancer-48c9b1f8934d,0
lung_cancer-48c9b1f8934d,1
lung_cancer-48c9b1f8934d,2
lung_cancer_epithelial_genexp-ff6233558b2e,0
lung_cancer_epithelial_genexp-ff6233558b2e,1
lung_cancer_epithelial_genexp-ff6233558b2e,2
lung_cancer_epithelial_genexp-ff6233558b2e,3
lung_cancer_epithelial_genexp-ff6233558b2e,4
lung_cancer_epithelial_genexp-ff6233558b2e,5
lung_cancer_epithelial_genexp-ff6233558b2e,6
lung_cancer_epithelial_genexp-ff6233558b2e,7
lung_cancer_epithelial_genexp-ff6233558b2e,8
lung_cancer_epithelial_genexp-ff6233558b2e,9
lung_cancer_epithelial_genexp-ff6233558b2e,10
lung_cancer_epithelial_genexp-ff6233558b2e,11
maps_router_eta_1m-8072a09ffab6,0
marketing_campaign-45b76b0f0de6,0
marketing_campaign-45b76b0f0de6,1
maternal_health_risk-002da4815804,0
mercari_price_suggestion_1m-12cff1856413,0
mercedes_benz_greener_manufacturing-da8ac0e00317,0
mercedes_benz_greener_manufacturing-da8ac0e00317,1
mercedes_benz_greener_manufacturing-da8ac0e00317,2
mercedes_benz_greener_manufacturing-da8ac0e00317,3
miami_housing-77ada7242bed,0
mic-ba10980b94f8,0
mice_protein_trisomy_discriminant-14c7a0eb99a0,0
mice_protein_trisomy_discriminant-14c7a0eb99a0,1
mice_protein_trisomy_discriminant-14c7a0eb99a0,2
micro_mass-5deb16d4fa0e,0
musk-16dca0dbddf5,0
musk-16dca0dbddf5,1
musk-16dca0dbddf5,2
musk-16dca0dbddf5,3
musk-16dca0dbddf5,4
musk-16dca0dbddf5,5
musk-16dca0dbddf5,6
musk-16dca0dbddf5,7
musk-16dca0dbddf5,8
musk-16dca0dbddf5,9
musk-16dca0dbddf5,10
musk-16dca0dbddf5,11
musk-16dca0dbddf5,12
musk-16dca0dbddf5,13
musk-16dca0dbddf5,14
musk-16dca0dbddf5,15
musk-16dca0dbddf5,16
musk-16dca0dbddf5,17
musk-16dca0dbddf5,18
mutual_funds_india-5fbf8efc1836,0
mutual_funds_india-5fbf8efc1836,1
naticusdroid_android_permissions_dataset-c7f072cebb01,0
obesity_estimation-37bb57808420,0
obesity_estimation-37bb57808420,1
obesity_estimation-37bb57808420,2
obesity_estimation-37bb57808420,3
obesity_estimation-37bb57808420,4
online_shoppers_purchasing_intention_dat-7c9d5262e1c0,0
otto_group_product_classification_challe-08decc7aebcb,0
pancreatic_cancer_mouse_detection-bebbbfb72cb4,0
pancreatic_cancer_mouse_detection-bebbbfb72cb4,1
pancreatic_cancer_mouse_detection-bebbbfb72cb4,2
pancreatic_cancer_mouse_detection-bebbbfb72cb4,3
pancreatic_cancer_mouse_detection-bebbbfb72cb4,4
pancreatic_cancer_mouse_detection-bebbbfb72cb4,5
pancreatic_cancer_mouse_detection-bebbbfb72cb4,6
pancreatic_cancer_mouse_detection-bebbbfb72cb4,7
pancreatic_cancer_mouse_detection-bebbbfb72cb4,8
pancreatic_cancer_mouse_detection-bebbbfb72cb4,9
parkinsons_biomedical_voice_measurements-44c2da69ace1,0
parkinsons_biomedical_voice_measurements-44c2da69ace1,1
parkinsons_biomedical_voice_measurements-44c2da69ace1,2
parkinsons_biomedical_voice_measurements-44c2da69ace1,3
parkinsons_biomedical_voice_measurements-44c2da69ace1,4
parkinsons_biomedical_voice_measurements-44c2da69ace1,5
parkinsons_biomedical_voice_measurements-44c2da69ace1,6
parkinsons_biomedical_voice_measurements-44c2da69ace1,7
parkinsons_biomedical_voice_measurements-44c2da69ace1,8
parkinsons_biomedical_voice_measurements-44c2da69ace1,9
parkinsons_biomedical_voice_measurements-44c2da69ace1,10
parkinsons_biomedical_voice_measurements-44c2da69ace1,11
parkinsons_biomedical_voice_measurements-44c2da69ace1,12
parkinsons_biomedical_voice_measurements-44c2da69ace1,13
parkinsons_biomedical_voice_measurements-44c2da69ace1,14
parkinsons_biomedical_voice_measurements-44c2da69ace1,15
parkinsons_biomedical_voice_measurements-44c2da69ace1,16
parkinsons_biomedical_voice_measurements-44c2da69ace1,17
parkinsons_biomedical_voice_measurements-44c2da69ace1,18
physiochemical_protein-d68ec1dd11a4,0
polish_companies_bankruptcy-c6e7be38cb09,0
porto_seguro-7894967113f3,0
predict_students_dropout_and_academic_su-60806510bdda,0
prostate_cancer_detection-d59b58af2363,0
prostate_cancer_detection-d59b58af2363,1
prostate_cancer_detection-d59b58af2363,2
prostate_cancer_detection-d59b58af2363,3
prostate_cancer_detection-d59b58af2363,4
prostate_cancer_detection-d59b58af2363,5
prostate_cancer_detection-d59b58af2363,6
prostate_cancer_detection-d59b58af2363,7
pva_revenue_prediction_kddcup98-94a4b79d0042,0
qsar_aquatic_toxicity-96e503f00d74,0
qsar_biodeg-99edbe20f66b,0
qsar_biodeg-99edbe20f66b,1
qsar_biodeg-99edbe20f66b,2
qsar_biodeg-99edbe20f66b,3
qsar_biodeg-99edbe20f66b,4
qsar_fish_toxicity-7d92081eed10,0
qsar_fish_toxicity-7d92081eed10,1
qsar_tid_11-34170685abe8,0
regensburg_pediatric_appendicitis-e7c24901d0c7,0
regensburg_pediatric_appendicitis-e7c24901d0c7,1
regensburg_pediatric_appendicitis-e7c24901d0c7,2
regensburg_pediatric_appendicitis-e7c24901d0c7,3
regensburg_pediatric_appendicitis-e7c24901d0c7,4
regensburg_pediatric_appendicitis-e7c24901d0c7,5
regensburg_pediatric_appendicitis-e7c24901d0c7,6
regensburg_pediatric_appendicitis-e7c24901d0c7,7
rossmann_store_sales-7f007635f770,0
rossmann_store_sales-7f007635f770,1
santander_customer_satisfaction-504299481d76,0
santander_customer_transaction_predictio-23a97d4b68f1,0
santander_transaction_value-46443292502e,0
sat11_hand_algo_runtime-cda3af888024,0
sat11_hand_algo_runtime-cda3af888024,1
sat11_hand_algo_runtime-cda3af888024,2
sberbank_housing_market_forecasting-54316cfd1a18,0
sberbank_housing_market_forecasting-54316cfd1a18,1
sberbank_housing_market_forecasting-54316cfd1a18,2
sdss_17-3d9b16fdea21,0
seismic_bumps-9636045db12f,0
seismic_bumps-9636045db12f,1
seismic_bumps-9636045db12f,2
seismic_bumps-9636045db12f,3
seismic_bumps-9636045db12f,4
seismic_bumps-9636045db12f,5
seismic_bumps-9636045db12f,6
sepsis_prediction_1m-77a236a7d8eb,0
sepsis_survival_minimal_clinical_records-225532acc0df,0
sepsis_survival_minimal_clinical_records-225532acc0df,1
sf_permit_time-a3faf4c318ef,0
sf_permit_time-a3faf4c318ef,1
sf_permit_time-a3faf4c318ef,2
sf_permit_time-a3faf4c318ef,3
south_africa_coronary_heart_disease-0e8d7cd42b03,0
south_africa_coronary_heart_disease-0e8d7cd42b03,1
south_africa_coronary_heart_disease-0e8d7cd42b03,2
south_africa_coronary_heart_disease-0e8d7cd42b03,3
splice-0b61e96684a9,0
student_portuguese_performance-3bb888dc8310,0
student_portuguese_performance-3bb888dc8310,1
student_portuguese_performance-3bb888dc8310,2
student_portuguese_performance-3bb888dc8310,3
student_portuguese_performance-3bb888dc8310,4
student_portuguese_performance-3bb888dc8310,5
student_portuguese_performance-3bb888dc8310,6
superconductivity-f6f2e1d679cc,0
taiwanese_bankruptcy_prediction-e1d1c0962bcb,0
taiwanese_bankruptcy_prediction-e1d1c0962bcb,1
taiwanese_bankruptcy_prediction-e1d1c0962bcb,2
taiwanese_bankruptcy_prediction-e1d1c0962bcb,3
taiwanese_bankruptcy_prediction-e1d1c0962bcb,4
taiwanese_bankruptcy_prediction-e1d1c0962bcb,5
taiwanese_bankruptcy_prediction-e1d1c0962bcb,6
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,0
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,1
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,2
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,3
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,4
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,5
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,6
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,7
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,8
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,9
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,10
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,11
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,12
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,13
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,14
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,15
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,16
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,17
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,18
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,19
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,20
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,21
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,22
telemonitoring_parkinsons_biomedical_voi-c608f1a3d898,23
thyroid_discordant-1111dc4e4f7d,0
thyroid_discordant-1111dc4e4f7d,1
thyroid_discordant-1111dc4e4f7d,2
thyroid_discordant-1111dc4e4f7d,3
thyroid_discordant-1111dc4e4f7d,4
tour_travels_churn-638a10e1adbe,0
tour_travels_churn-638a10e1adbe,1
video_game_fps_prediction-af230e95b2ad,0
video_transcoding_time_prediction-1aa8b8149615,0
video_transcoding_time_prediction-1aa8b8149615,1
video_transcoding_time_prediction-1aa8b8149615,2
website_phishing-e1ffdd9e6d3a,0
wids_diabetes_mellitus-d05f898265f2,0
wine_quality-6ad3969edbaa,0
wine_world_cost-59804d5f92e6,0
